date,close
2018/11/29,2.9598
2018/11/30,2.9903
2018/12/3,3.0679
2018/12/4,3.0725
2018/12/5,3.0587
2018/12/6,2.9967
2018/12/7,2.9903
2018/12/10,2.9625
2018/12/11,2.9745
2018/12/12,2.9847
2018/12/13,3.0355
2018/12/14,2.9829
2018/12/17,2.9792
2018/12/18,2.9422
2018/12/19,2.9117
2018/12/20,2.8904
2018/12/21,2.8544
2018/12/24,2.8608
2018/12/25,2.8433
2018/12/26,2.8276
2018/12/27,2.8211
2018/12/28,2.8276
2019/1/2,2.7887
2019/1/3,2.7887
2019/1/4,2.8599
2019/1/7,2.8719
2019/1/8,2.8719
2019/1/9,2.8932
2019/1/10,2.896
2019/1/11,2.9172
2019/1/14,2.8923
2019/1/15,2.9468
2019/1/16,2.9469
2019/1/17,2.9309
2019/1/18,2.9818
2019/1/21,2.9978
2019/1/22,2.9601
2019/1/23,2.9526
2019/1/24,2.9752
2019/1/25,2.9978
2019/1/28,2.994
2019/1/29,3.0072
2019/1/30,2.9874
2019/1/31,3.0157
2019/2/1,3.0656
2019/2/11,3.108
2019/2/12,3.1306
2019/2/13,3.1956
2019/2/14,3.1993
2019/2/15,3.1466
2019/2/18,3.238
2019/2/19,3.2295
2019/2/20,3.238
2019/2/21,3.2342
2019/2/22,3.3208
2019/2/25,3.5554
2019/2/26,3.4753
2019/2/27,3.4565
2019/2/28,3.4499
2019/3/1,3.5205
2019/3/4,3.5572
2019/3/5,3.5874
2019/3/6,3.6119
2019/3/7,3.5723
2019/3/8,3.448
2019/3/11,3.4941
2019/3/12,3.5177
2019/3/13,3.497
2019/3/14,3.4715
2019/3/15,3.5177
2019/3/18,3.626
2019/3/19,3.5996
2019/3/20,3.5996
2019/3/21,3.6015
2019/3/22,3.6062
2019/3/25,3.5167
2019/3/26,3.48
2019/3/27,3.5101
2019/3/28,3.5007
2019/3/29,3.6439
2019/4/1,3.7381
2019/4/2,3.7315
2019/4/3,3.7814
2019/4/4,3.8257
2019/4/8,3.8012
2019/4/9,3.8238
2019/4/10,3.8294
2019/4/11,3.7635
2019/4/12,3.7503
2019/4/15,3.7268
2019/4/16,3.8398
2019/4/17,3.8304
2019/4/18,3.8238
2019/4/19,3.8803
2019/4/22,3.7833
2019/4/23,3.7767
2019/4/24,3.7823
2019/4/25,3.7042
2019/4/26,3.6533
2019/4/29,3.6674
2019/4/30,3.6693
2019/5/6,3.4593
2019/5/7,3.4913
2019/5/8,3.4461
2019/5/9,3.3971
2019/5/10,3.5036
2019/5/13,3.4395
2019/5/14,3.4226
2019/5/15,3.496
2019/5/16,3.513
2019/5/17,3.4339
2019/5/20,3.3962
2019/5/21,3.4386
2019/5/22,3.4301
2019/5/23,3.3755
2019/5/24,3.3811
2019/5/27,3.4216
2019/5/28,3.4376
2019/5/29,3.4395
2019/5/30,3.4376
2019/5/31,3.4207
2019/6/3,3.4282
2019/6/4,3.3971
2019/6/5,3.3896
2019/6/6,3.3604
2019/6/10,3.4037
2019/6/11,3.5101
